County,City,Model_Year,Make,Model,EV_Type,CAFV_Eligibility,Electric_Range,Electric_Utility,Vehicle_Age,Has_Range_Data,Has_MSRP
Kitsap,Port Orchard,2025,Ford,Escape,PHEV,Eligible,37.0,Puget Sound Energy Inc,0,1,0
Kitsap,Kingston,2024,Mazda,Cx-90,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,1,1,0
Thurston,Olympia,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Thurston,Rainier,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Snohomish,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Stanwood,2024,Lexus,Rx,PHEV,Eligible,37.0,Puget Sound Energy Inc,1,1,0
Thurston,Olympia,2017,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,8,1,0
Kitsap,Silverdale,2020,Nissan,Leaf,BEV,Eligible,215.0,Puget Sound Energy Inc,5,1,0
Thurston,Olympia,2024,Jeep,Wrangler,PHEV,Not Eligible,21.0,Puget Sound Energy Inc,1,1,0
King,Seattle,2020,Nissan,Leaf,BEV,Eligible,149.0,City Of Seattle - (Wa),5,1,0
King,Renton,2018,Tesla,Model S,BEV,Eligible,249.0,Puget Sound Energy Inc,7,1,0
King,Kenmore,2016,Tesla,Model X,BEV,Eligible,200.0,Puget Sound Energy Inc,9,1,0
King,Bothell,2024,Bmw,X5,PHEV,Eligible,39.0,Puget Sound Energy Inc,1,1,0
Thurston,Rainier,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,7,1,0
Snohomish,Everett,2023,Bmw,X5,PHEV,Eligible,30.0,Puget Sound Energy Inc,2,1,0
Snohomish,Mukilteo,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Snohomish,2014,Tesla,Model S,BEV,Eligible,208.0,Puget Sound Energy Inc,11,1,1
Kitsap,Silverdale,2020,Kia,Niro,BEV,Eligible,239.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2020,Kia,Niro,BEV,Eligible,239.0,City Of Seattle - (Wa),5,1,0
Kitsap,Bremerton,2020,Tesla,Model 3,BEV,Eligible,322.0,Puget Sound Energy Inc,5,1,0
Kitsap,Bremerton,2019,Nissan,Leaf,BEV,Eligible,150.0,Puget Sound Energy Inc,6,1,0
Kitsap,Bainbridge Island,2018,Tesla,Model S,BEV,Eligible,249.0,Puget Sound Energy Inc,7,1,0
Yakima,Yakima,2023,Jeep,Grand Cherokee,PHEV,Not Eligible,25.0,Pacificorp,2,1,0
Snohomish,Bothell,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Kitsap,Port Orchard,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
King,Renton,2016,Tesla,Model X,BEV,Eligible,200.0,Puget Sound Energy Inc,9,1,0
Kitsap,Bainbridge Island,2020,Audi,Q5 E,PHEV,Not Eligible,20.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2019,Bmw,I3,BEV,Eligible,153.0,City Of Seattle - (Wa),6,1,0
Snohomish,Bothell,2022,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Snohomish,Lynnwood,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Kirkland,2020,Nissan,Leaf,BEV,Eligible,149.0,Puget Sound Energy Inc,5,1,0
Snohomish,Snohomish,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Kitsap,Bremerton,2019,Nissan,Leaf,BEV,Eligible,150.0,Puget Sound Energy Inc,6,1,0
Kitsap,Poulsbo,2019,Kia,Niro,BEV,Eligible,239.0,Puget Sound Energy Inc,6,1,0
Kitsap,Poulsbo,2025,Volvo,Xc60,PHEV,Eligible,35.0,Puget Sound Energy Inc,0,1,0
Kitsap,Bainbridge Island,2018,Nissan,Leaf,BEV,Eligible,151.0,Puget Sound Energy Inc,7,1,0
Kitsap,Poulsbo,2022,Rivian,R1T,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Medina,2019,Tesla,Model X,BEV,Eligible,289.0,City Of Seattle - (Wa),6,1,0
Thurston,Olympia,2023,Kia,Niro,PHEV,Eligible,33.0,Puget Sound Energy Inc,2,1,0
Kitsap,Port Orchard,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Bothell,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,7,1,0
King,Bellevue,2017,Nissan,Leaf,BEV,Eligible,107.0,Puget Sound Energy Inc,8,1,0
Yakima,Yakima,2013,Chevrolet,Volt,PHEV,Eligible,38.0,Pacificorp,12,1,0
Thurston,Yelm,2021,Jeep,Wrangler,PHEV,Not Eligible,25.0,Puget Sound Energy Inc,4,1,0
Thurston,Olympia,2025,Volvo,Xc90,PHEV,Eligible,32.0,Puget Sound Energy Inc,0,1,0
Thurston,Tenino,2014,Chevrolet,Volt,PHEV,Eligible,38.0,Puget Sound Energy Inc,11,1,0
Snohomish,Bothell,2022,Kia,Niro,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Snohomish,Brier,2024,Volvo,Xc60,PHEV,Eligible,35.0,Puget Sound Energy Inc,1,1,0
Yakima,Toppenish,2013,Tesla,Model S,BEV,Eligible,208.0,Pacificorp,12,1,1
King,Seattle,2017,Nissan,Leaf,BEV,Eligible,107.0,City Of Seattle - (Wa),8,1,0
Snohomish,Lynnwood,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
King,Seattle,2018,Bmw,I3,BEV,Eligible,114.0,City Of Seattle - (Wa),7,1,0
Kitsap,Poulsbo,2024,Bmw,X5,PHEV,Eligible,39.0,Puget Sound Energy Inc,1,1,0
Yakima,Zillah,2013,Tesla,Model S,BEV,Eligible,208.0,Pacificorp,12,1,1
